Title;Ingredients;Instructions;Time
Spaghetti alla Carbonara;350g spaghetti, 150g guanciale, 4 tuorli, 100g pecorino romano, pepe nero;Cuocere gli spaghetti al dente. Rosolare il guanciale in padella. Sbattere i tuorli con il pecorino e tanto pepe. Unire la pasta al guanciale (fuori dal fuoco) e aggiungere la crema di uova mantecando con un po' di acqua di cottura.;20
Tiramisù Classico;500g mascarpone, 300g savoiardi, 4 uova, 100g zucchero, caffè espresso, cacao amaro;Separare i tuorli dagli albumi. Montare i tuorli con lo zucchero e unire il mascarpone. Montare gli albumi a neve e unirli delicatamente. Inzuppare i savoiardi nel caffè e alternare strati di crema e biscotti. Spolverare con cacao.;45
Pesto alla Genovese;50g basilico, 70ml olio evo, 60g parmigiano, 30g pecorino, 2 spicchi aglio, 15g pinoli, sale grosso;Lavare e asciugare il basilico. Pestare nel mortaio (o frullare a scatti) aglio e sale, poi pinoli, poi basilico. Aggiungere i formaggi e infine l'olio a filo fino a ottenere una crema.;15
Pasta all'Amatriciana;400g bucatini, 250g guanciale, 400g pomodori pelati, 1 peperoncino, 75g pecorino, vino bianco;Rosolare il guanciale a listarelle, sfumare con vino bianco. Togliere il guanciale e nella stessa padella cuocere il pomodoro con il peperoncino. Unire il guanciale e condire la pasta scolata al dente, mantecando con pecorino.;25
Parmigiana di Melanzane;1kg melanzane, 700ml passata di pomodoro, 400g mozzarella, 100g parmigiano, basilico, farina, olio di semi;Tagliare le melanzane a fette, passarle nella farina e friggerle. Preparare un sugo di pomodoro semplice. In una pirofila alternare strati di sugo, melanzane fritte, cubetti di mozzarella, parmigiano e basilico. Infornare a 200°C per 30 minuti.;90
Risotto ai Funghi Porcini;320g riso carnaroli, 40g funghi porcini secchi, 1 cipolla, vino bianco, brodo vegetale, burro, parmigiano;Ammollare i funghi. Soffriggere la cipolla, tostare il riso, sfumare col vino. Aggiungere i funghi e il brodo poco alla volta. Mantecare a fine cottura con burro freddo e parmigiano.;30
Lasagne alla Bolognese;500g sfoglia all'uovo, 500g ragù alla bolognese, 500ml besciamella, 100g parmigiano;Sbollentare la sfoglia (se necessario). In una pirofila alternare strati di ragù, besciamella, sfoglia e parmigiano. Infornare a 180°C per 30-40 minuti finché dorata.;60
Pollo alla Cacciatora;1kg pollo a pezzi, 400g pomodori pelati, 1 carota, 1 sedano, 1 cipolla, vino rosso, rosmarino, olive nere;Soffriggere le verdure tritate. Rosolare il pollo, sfumare col vino. Aggiungere pomodoro e aromi. Cuocere con coperchio a fuoco basso finché il pollo è tenero.;50
Cotoletta alla Milanese;4 costolette di vitello con osso, 2 uova, pangrattato, burro chiarificato;Battere leggermente la carne. Passarla nell'uovo sbattuto e poi nel pangrattato (senza premere troppo). Friggere nel burro chiarificato finché dorata.;20
Pasta e Fagioli;300g pasta mista, 400g fagioli borlotti cotti, 1 carota, 1 sedano, 1 cipolla, passata di pomodoro, rosmarino;Soffriggere il trito di verdure. Aggiungere fagioli (metà frullati per cremosità) e un po' di pomodoro. Allungare con acqua, portare a bollore e cuocere la pasta dentro la zuppa.;35
